,TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO,Dominance,fag
220,1757390400,9/9/2025,4,111720.81,112104.07,112037.07,111646.52,592.33,66300739.49,57.5529834437509,44
221,1757394000,9/9/2025,5,112037.07,112259.52,112213.3,111871.84,292.05,32715086.37,57.5529834437509,44
222,1757397600,9/9/2025,6,112213.3,113167.49,113037.46,112174.64,993.88,112107532.28,57.5529834437509,44
223,1757401200,9/9/2025,7,113037.46,113293.12,113009.09,112777.43,784.5,88712927.46,57.5529834437509,44
224,1757404800,9/9/2025,8,113009.09,113180.98,112998.6,112908.4,421.61,47654999.16,57.5529834437509,44
225,1757408400,9/9/2025,9,112998.6,113073.92,112974.99,112918.87,262.68,29677626.45,57.5529834437509,44
226,1757412000,9/9/2025,10,112974.99,113050,112752.4,112658.03,454.9,51322841.58,57.5529834437509,44
227,1757415600,9/9/2025,11,112752.4,112823.45,112453.6,112429.78,311.27,35063365.91,57.5529834437509,44
228,1757419200,9/9/2025,12,112453.6,112844.05,112693.92,112417,627.91,70754451.12,57.5529834437509,44
229,1757422800,9/9/2025,13,112693.92,112962.92,112785.89,112506.25,1445.17,162978765.8,57.5529834437509,44
230,1757426400,9/9/2025,14,112785.89,112971.01,111778.66,111519.51,2837.27,317950721.06,57.5529834437509,44
231,1757430000,9/9/2025,15,111778.66,111836.05,110885.58,110777.59,2093.55,232810695.13,57.5529834437509,44
232,1757433600,9/9/2025,16,110885.58,111151.79,110973.88,110789.84,1218.03,135142125.69,57.5529834437509,44
233,1757437200,9/9/2025,17,110973.88,111198.45,111039.11,110891.38,744.02,82611589.98,57.5529834437509,44
234,1757440800,9/9/2025,18,111039.11,111313.66,111161.77,110919.92,657.91,73118352.43,57.5529834437509,44
235,1757444400,9/9/2025,19,111161.77,111401.66,111318.65,111141.12,515.52,57380164.36,57.5529834437509,44
236,1757448000,9/9/2025,20,111318.65,111534.96,111533,111102.19,805.84,89656097.73,57.5529834437509,44
237,1757451600,9/9/2025,21,111533,111749.15,111305.65,111278.98,449.78,50164863.83,57.5529834437509,44
238,1757455200,9/9/2025,22,111305.65,111631.3,111562.46,111275.2,344.02,38348188.24,57.5529834437509,44
239,1757458800,9/9/2025,23,111562.46,111584.35,111533.26,111531.51,10.53,1175078.35,57.5529834437509,44
240,1757462400,9/10/2025,0,111549.14,111571.68,111014.17,110949.81,978.74,108909414.52,57.3971659674572,43
241,1757466000,9/10/2025,1,111014.17,111225.04,111015.81,110940.58,765.2,84973819.88,57.3971659674572,43
242,1757469600,9/10/2025,2,111015.81,111557.96,111418,111015.79,664.31,73969562.39,57.3971659674572,43
243,1757473200,9/10/2025,3,111418,111586.41,111547.73,111383.37,336.5,37513341.1,57.3971659674572,43
244,1757476800,9/10/2025,4,111547.73,111657.38,111540.07,111425.39,247.95,27654380.29,57.3971659674572,43
245,1757480400,9/10/2025,5,111540.07,111718.12,111577.45,111388.78,354.74,39570861.82,57.3971659674572,43
246,1757484000,9/10/2025,6,111577.45,111968.45,111802.18,111421.41,398.77,44556121.93,57.3971659674572,43
247,1757487600,9/10/2025,7,111802.18,112593.61,112551.83,111777.63,639.25,71725762.46,57.3971659674572,43
248,1757491200,9/10/2025,8,112551.83,112852.44,112385.34,112345.96,750.43,84529067,57.3971659674572,43
249,1757494800,9/10/2025,9,112385.34,112435.65,112276.46,112119.91,509.4,57196222.4,57.3971659674572,43
250,1757498400,9/10/2025,10,112276.46,112431.61,112281.01,112219.4,446.28,50139347.78,57.3971659674572,43
251,1757502000,9/10/2025,11,112281.01,112408.8,112308.63,112175.44,307.95,34577676.22,57.3971659674572,43
252,1757505600,9/10/2025,12,112308.63,113539.87,113416.41,112307.13,3107.74,351562750.47,57.3971659674572,43
253,1757509200,9/10/2025,13,113416.41,114341.92,113995.46,113411.6,3690.57,420060158.19,57.3971659674572,43
254,1757512800,9/10/2025,14,113995.46,114337.24,113936.51,113842.96,2184.69,249319143.79,57.3971659674572,43
255,1757516400,9/10/2025,15,113936.51,114143.95,113892.84,113765.66,984.61,112193768.46,57.3971659674572,43
256,1757520000,9/10/2025,16,113892.84,113970.43,113796.77,113598.85,1014.65,115416379.25,57.3971659674572,43
257,1757523600,9/10/2025,17,113796.77,114116.55,113772.36,113453.76,1156.52,131555437.3,57.3971659674572,43
258,1757527200,9/10/2025,18,113772.36,113924.6,113623.15,113376.94,1223.22,138952617.53,57.3971659674572,43
259,1757530800,9/10/2025,19,113623.15,113648.88,113617.42,113192.28,1473.95,167121109.23,57.3971659674572,43
260,1757534400,9/10/2025,20,113617.42,113916.18,113622.51,113606.08,815.36,92754970.35,57.3971659674572,43
261,1757538000,9/10/2025,21,113622.51,113889.28,113878.64,113589.36,362.46,41243480.89,57.3971659674572,43
